number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_grad_clip,params_hidden_layers,params_lr,state
0,1.1226114075808298,2026-04-21 22:42:53.382464,2026-04-21 22:46:17.305941,0 days 00:03:23.923477,32,0.3890148590638772,4.763580754309006,"[128, 128, 64]",0.0001476679770557946,COMPLETE
1,0.4212760130564372,2026-04-21 22:46:17.306315,2026-04-21 22:46:43.944149,0 days 00:00:26.637834,128,0.26936973519166546,0.7889460561369593,"[128, 64]",0.0029096340647797405,COMPLETE
2,0.2455188788163165,2026-04-21 22:46:43.944492,2026-04-21 22:49:35.707290,0 days 00:02:51.762798,32,0.3538719645560964,2.077879837447694,"[256, 128]",0.0021878748275023204,COMPLETE
3,0.19765905120543073,2026-04-21 22:49:35.707610,2026-04-21 22:50:12.127961,0 days 00:00:36.420351,64,0.039587763985844626,4.814294204877669,"[256, 128]",0.0019885297998148825,COMPLETE
4,0.9600019073912076,2026-04-21 22:50:12.128261,2026-04-21 22:51:37.228056,0 days 00:01:25.099795,32,0.3715576701366762,0.6447542365124269,"[64, 32]",0.0007579360657396297,COMPLETE
5,0.4291044707986571,2026-04-21 22:51:37.228359,2026-04-21 22:53:07.124645,0 days 00:01:29.896286,32,0.3216069833071237,3.0222098427047266,"[128, 64]",0.008928954497323349,COMPLETE
6,0.5672766001451583,2026-04-21 22:53:07.125137,2026-04-21 22:53:29.574836,0 days 00:00:22.449699,128,0.4601346678898428,4.047828664767009,"[128, 64]",0.004004866142271726,COMPLETE
7,0.28469235696608114,2026-04-21 22:53:29.575149,2026-04-21 22:55:16.608939,0 days 00:01:47.033790,32,0.214814851001486,0.5391703759072182,"[128, 128, 64]",0.002786569117444079,COMPLETE
8,0.9487309018770855,2026-04-21 22:55:16.609347,2026-04-21 22:55:53.768620,0 days 00:00:37.159273,128,0.42283208074922984,1.483342951352791,"[128, 64]",0.0005629028015678481,COMPLETE
9,0.6189591052986325,2026-04-21 22:55:53.768890,2026-04-21 22:56:40.757437,0 days 00:00:46.988547,128,0.38568230308707774,3.4024249503608,"[128, 128, 64]",0.001833987854828636,COMPLETE
10,0.536019092798233,2026-04-21 22:56:40.757730,2026-04-21 22:57:57.991528,0 days 00:01:17.233798,64,0.013056972531700212,4.992138014200601,"[256, 128]",0.0002868839998457447,COMPLETE
11,0.2458888484963349,2026-04-21 22:57:57.991793,2026-04-21 22:59:32.499610,0 days 00:01:34.507817,64,0.12735096408452867,2.4330442660547327,"[256, 128]",0.0012765202861654173,COMPLETE
12,0.1960509823014339,2026-04-21 22:59:32.499902,2026-04-21 23:00:10.823003,0 days 00:00:38.323101,64,0.059433391439721914,1.925446168317246,"[256, 128]",0.005958375097777507,COMPLETE
13,0.23857247727878744,2026-04-21 23:00:10.823428,2026-04-21 23:00:47.851843,0 days 00:00:37.028415,64,0.0034832013565961883,1.7599981783240644,"[256, 128]",0.009080234241021468,COMPLETE
14,0.18454353021723885,2026-04-21 23:00:47.852146,2026-04-21 23:01:25.543203,0 days 00:00:37.691057,64,0.10488759686550883,3.8537046731327718,"[256, 128]",0.004795586484772825,COMPLETE
15,0.3982559258739154,2026-04-21 23:01:25.543586,2026-04-21 23:01:52.923534,0 days 00:00:27.379948,64,0.11678961229506626,3.7123104187920797,"[64, 32]",0.004981991563001668,COMPLETE
16,0.19358455123645918,2026-04-21 23:01:52.923790,2026-04-21 23:02:43.955454,0 days 00:00:51.031664,64,0.11092412234532174,2.7872466598940577,"[256, 128]",0.005436240963788367,COMPLETE
17,0.2782075616930212,2026-04-21 23:02:43.955758,2026-04-21 23:03:41.363388,0 days 00:00:57.407630,64,0.1748228057250229,2.83363089788061,"[256, 128]",0.0011712195356084268,COMPLETE
18,0.18615426376816774,2026-04-21 23:03:41.363691,2026-04-21 23:04:43.647445,0 days 00:01:02.283754,64,0.10312897541317655,4.178159568909693,"[256, 128]",0.005609613259034916,COMPLETE
19,0.9138984961169105,2026-04-21 23:04:43.647718,2026-04-21 23:05:25.814472,0 days 00:00:42.166754,64,0.1755936182792041,4.198846848420657,"[64, 32]",0.0005025028085098938,COMPLETE
